MaDH,MaKH,MaSP,SoLuong,NgayDat,TongTien
13070,652,82,6,2024-08-06,1020000
13071,922,29,2,2024-08-20,18780000
13072,661,41,5,2024-05-06,4950000
13073,341,73,8,2024-12-27,125520000
13074,876,45,1,2024-09-03,3990000
13075,91,30,7,2024-06-26,77630000
13076,638,54,10,2025-01-12,48900000
13077,290,19,8,2024-03-19,24720000
13078,620,42,9,2024-07-19,4950000
13079,433,8,9,2024-05-20,91710000
13080,732,59,10,2024-10-01,39900000
13081,407,74,4,2025-02-11,61160000
13082,161,32,1,2025-02-20,10990000
13083,318,78,9,2024-08-12,441000
13084,926,48,10,2024-04-11,79900000
13085,927,27,4,2024-11-23,67600000
13086,181,94,1,2024-05-29,5990000
13087,716,21,9,2024-05-28,130410000
13088,664,56,1,2025-03-07,3990000
13089,2,34,8,2024-07-29,30320000
13090,711,71,2,2024-06-26,36380000
13091,656,72,8,2024-11-23,127920000
13092,895,64,10,2025-01-06,83900000
13093,23,77,10,2024-06-09,281900000
13094,610,68,4,2024-03-21,40760000
13095,222,72,6,2024-05-25,95940000
13096,458,19,4,2025-02-13,12360000
13097,27,12,7,2025-02-18,82250000
13098,991,42,7,2024-11-29,3850000
13099,217,47,5,2024-05-15,37950000
13100,283,29,3,2025-01-31,28170000
13101,259,52,10,2024-12-15,8590000
13102,152,59,5,2024-12-07,19950000
13103,563,54,3,2024-03-21,14670000
13104,647,34,3,2024-02-24,11370000
13105,773,7,7,2024-07-21,87080000
13106,574,86,8,2024-09-07,800000
13107,981,70,1,2024-07-19,22690000
13108,138,48,8,2024-08-11,63920000
13109,100,30,5,2024-03-20,55450000
13110,786,44,1,2024-12-07,519000
13111,120,58,2,2025-01-02,16640000
13112,417,87,2,2024-07-20,384000
13113,517,72,9,2024-09-20,143910000
13114,840,87,2,2024-09-17,384000
13115,661,61,7,2024-02-14,33530000
13116,107,93,10,2024-05-15,11900000
13117,250,95,1,2024-09-13,890000
13118,547,69,8,2024-02-28,111920000
13119,150,94,6,2024-06-22,35940000
13120,459,59,7,2025-02-26,27930000
13121,186,43,10,2024-11-27,4200000
13122,300,7,6,2024-12-23,74640000
13123,304,95,3,2024-08-08,2670000
13124,613,36,1,2024-04-30,1055000
13125,759,14,10,2024-03-21,84900000
13126,941,15,4,2024-03-05,33960000
13127,799,59,7,2025-02-18,27930000
13128,572,35,9,2024-03-06,24750000
13129,599,24,5,2024-03-02,22000000
13130,676,15,9,2024-08-07,76410000
13131,756,61,8,2024-09-15,38320000
13132,171,13,8,2025-01-07,30320000
13133,654,79,10,2024-12-16,750000
13134,411,18,1,2024-06-28,5290000
13135,632,15,5,2024-06-09,42450000
13136,840,53,1,2024-04-26,1190000
13137,758,8,8,2024-07-12,81520000
13138,394,87,5,2024-08-02,960000
13139,986,11,4,2024-06-22,55960000
13140,594,28,1,2025-01-04,18990000
13141,150,59,8,2024-09-29,31920000
13142,257,71,10,2024-07-13,181900000
13143,774,84,1,2024-04-22,450000
13144,241,6,6,2025-02-21,62340000
13145,412,44,7,2024-10-08,3633000
13146,395,7,10,2024-08-03,124400000
13147,450,80,9,2024-08-19,4590000
13148,540,20,3,2024-11-12,23250000
13149,831,59,4,2025-01-24,15960000
13150,793,59,1,2025-01-05,3990000
13151,696,84,3,2024-04-14,1350000
13152,19,45,9,2024-03-20,35910000
13153,160,72,10,2025-02-24,159900000
13154,818,20,9,2024-07-09,69750000
13155,72,31,5,2024-09-19,10450000
13156,47,75,1,2024-12-03,18390000
13157,822,23,10,2024-07-25,64900000
13158,495,5,1,2024-09-02,8600000
13159,717,55,1,2025-03-17,7290000
13160,125,40,1,2024-10-24,499000
13161,725,72,9,2024-10-11,143910000
13162,503,14,8,2024-03-25,67920000
13163,665,57,1,2024-04-21,5149000
13164,244,95,2,2024-04-28,1780000
13165,622,27,10,2024-05-09,169000000
13166,66,22,10,2024-03-23,86900000
13167,211,41,9,2024-11-12,8910000
13168,657,40,7,2024-12-10,3493000
13169,98,78,1,2024-03-13,49000
13170,906,13,2,2024-06-29,7580000
13171,82,12,6,2024-05-12,70500000
13172,694,31,1,2024-06-23,2090000
13173,879,2,1,2025-01-11,12440000
13174,126,54,8,2024-09-07,39120000
13175,381,89,1,2025-01-17,990000
13176,127,81,6,2024-07-12,1020000
13177,984,7,6,2024-11-11,74640000
13178,882,76,4,2024-09-27,91160000
13179,264,43,9,2024-03-11,3780000
13180,115,21,3,2024-04-15,43470000
13181,563,39,2,2024-07-12,1980000
13182,968,13,4,2024-12-11,15160000
13183,720,22,5,2024-09-21,43450000
13184,939,92,1,2024-05-29,2590000
13185,920,70,1,2024-06-06,22690000
13186,569,64,7,2024-05-04,58730000
13187,10,24,4,2025-02-03,17600000
13188,77,32,8,2024-07-24,87920000
13189,167,86,8,2024-10-24,800000
13190,990,50,5,2024-09-14,27950000
13191,273,29,10,2024-10-18,93900000
13192,496,19,7,2025-03-17,21630000
13193,586,77,10,2024-09-21,281900000
13194,921,42,1,2025-02-21,550000
13195,943,25,3,2024-12-06,32250000
13196,504,39,4,2025-03-13,3960000
13197,31,29,5,2024-08-02,46950000
13198,293,36,5,2024-04-15,5275000
13199,365,94,4,2024-08-19,23960000
13200,273,51,8,2024-03-18,63920000
13201,44,96,10,2025-02-03,7900000
13202,912,61,5,2025-02-11,23950000
13203,540,88,4,2024-07-08,3160000
13204,713,74,5,2024-09-02,76450000
13205,103,91,8,2025-02-23,19520000
13206,359,10,1,2024-02-24,7390000
13207,722,77,1,2024-06-17,28190000
13208,307,65,8,2024-07-24,31920000
13209,597,47,6,2024-07-04,45540000
13210,283,55,9,2024-10-25,65610000
13211,157,72,9,2024-05-20,143910000
13212,775,50,6,2024-03-27,33540000
13213,508,75,7,2024-09-16,128730000
13214,732,62,9,2024-08-05,60705000
13215,156,24,2,2024-12-17,8800000
13216,641,6,7,2024-04-03,72730000
13217,255,49,9,2024-05-01,69210000
13218,977,90,2,2024-12-19,1980000
13219,980,95,2,2025-01-06,1780000
13220,879,10,5,2024-11-17,36950000
13221,669,2,3,2024-12-06,37320000
13222,171,16,1,2024-09-14,2990000
13223,66,47,1,2024-05-08,7590000
13224,113,46,5,2025-01-30,17450000
13225,393,71,10,2025-01-01,181900000
13226,862,83,6,2025-01-29,510000
13227,716,65,6,2024-08-16,23940000
13228,984,37,1,2024-07-09,439000
13229,512,7,8,2025-01-14,99520000
13230,950,75,1,2024-04-07,18390000
13231,950,85,8,2024-09-01,720000
13232,729,71,10,2024-06-28,181900000
13233,927,72,2,2024-07-07,31980000
13234,99,69,7,2024-06-14,97930000
13235,8,28,6,2024-12-05,113940000
13236,365,90,5,2024-07-07,4950000
13237,956,55,6,2024-10-26,43740000
13238,23,40,3,2025-02-03,1497000
13239,491,5,3,2024-06-08,25800000
13240,899,41,5,2025-01-12,4950000
13241,770,55,2,2024-04-22,14580000
13242,363,8,1,2024-02-16,10190000
13243,286,76,1,2024-12-10,22790000
13244,553,8,7,2024-05-30,71330000
13245,254,83,8,2025-02-22,680000
13246,544,35,8,2024-12-08,22000000
13247,861,49,5,2024-08-08,38450000
13248,403,36,7,2024-09-10,7385000
13249,872,62,4,2024-03-22,26980000
13250,339,16,5,2024-04-01,14950000
13251,278,26,4,2024-06-19,12960000
13252,808,12,8,2024-03-15,94000000
13253,745,3,9,2024-02-12,69750000
13254,183,49,5,2024-10-19,38450000
13255,474,22,5,2024-05-04,43450000
13256,305,22,9,2025-02-26,78210000
13257,688,21,7,2024-05-05,101430000
13258,739,29,7,2024-06-01,65730000
13259,845,44,3,2024-03-06,1557000
13260,82,73,10,2024-12-09,156900000
13261,898,20,4,2024-10-19,31000000
13262,274,91,2,2024-09-03,4880000
13263,605,3,9,2024-07-03,69750000
13264,180,29,3,2024-03-13,28170000
13265,60,23,8,2024-09-01,51920000
13266,156,75,2,2024-06-28,36780000
13267,671,13,7,2025-01-17,26530000
13268,12,93,3,2024-11-01,3570000
13269,868,86,4,2024-07-28,400000
13270,73,51,8,2024-03-31,63920000
13271,429,44,4,2024-02-18,2076000
13272,6,2,5,2024-05-22,62200000
13273,753,73,2,2024-10-14,31380000
13274,587,47,10,2024-05-24,75900000
13275,39,90,2,2025-01-16,1980000
13276,971,64,8,2025-01-02,67120000
13277,823,34,5,2025-02-07,18950000
13278,468,19,7,2024-11-17,21630000
13279,53,80,8,2024-11-07,4080000
13280,341,85,1,2024-02-19,90000
13281,253,53,1,2024-10-20,1190000
13282,725,87,3,2025-01-11,576000
13283,228,72,9,2024-04-03,143910000
13284,101,26,10,2024-11-18,32400000
13285,565,11,9,2024-07-17,125910000
13286,933,3,10,2024-11-20,77500000
13287,58,84,3,2024-09-14,1350000
13288,689,21,4,2024-11-30,57960000
13289,77,66,9,2025-01-12,25110000
13290,69,59,4,2024-08-29,15960000
13291,340,3,6,2024-04-14,46500000
13292,956,82,9,2024-02-22,1530000
13293,102,92,6,2024-11-20,15540000
13294,802,90,1,2025-01-15,990000
13295,972,72,3,2025-03-10,47970000
13296,522,58,4,2024-11-17,33280000
13297,644,85,6,2024-03-17,540000
13298,272,69,3,2024-09-16,41970000
13299,102,37,9,2024-03-14,3951000
13300,220,16,4,2024-07-02,11960000
13301,873,82,2,2024-04-27,340000
13302,668,56,1,2024-02-26,3990000
13303,665,94,3,2024-02-26,17970000
13304,450,50,1,2024-03-13,5590000
13305,831,37,5,2024-09-05,2195000
13306,213,24,4,2024-08-18,17600000
13307,122,88,9,2024-05-10,7110000
13308,698,80,2,2024-08-13,1020000
13309,605,36,3,2024-04-29,3165000
13310,776,48,10,2024-09-11,79900000
13311,398,92,1,2024-07-23,2590000
13312,421,84,4,2024-03-01,1800000
13313,10,22,1,2024-10-06,8690000
13314,653,71,8,2024-04-25,145520000
13315,91,16,3,2024-04-22,8970000
13316,784,69,1,2024-12-17,13990000
13317,648,68,9,2024-03-23,91710000
13318,727,28,9,2024-08-24,170910000
13319,244,88,2,2024-02-27,1580000
13320,584,19,1,2025-01-31,3090000
13321,929,11,9,2024-09-19,125910000
13322,942,15,7,2025-02-16,59430000
13323,57,89,4,2025-02-11,3960000
13324,265,84,1,2024-10-02,450000
13325,829,26,4,2025-02-26,12960000
13326,807,12,1,2024-11-04,11750000
13327,291,84,9,2024-09-05,4050000
13328,373,78,4,2024-07-17,196000
13329,689,55,2,2024-06-03,14580000
13330,740,33,1,2025-01-09,13790000
13331,130,15,7,2024-10-10,59430000
13332,154,20,6,2024-08-17,46500000
13333,90,53,4,2024-03-02,4760000
13334,946,44,9,2025-02-25,4671000
13335,435,94,6,2024-03-14,35940000
13336,672,11,1,2024-02-11,13990000
13337,923,16,1,2025-03-11,2990000
13338,156,3,3,2024-08-25,23250000
13339,587,83,2,2024-07-09,170000
13340,24,19,5,2024-10-20,15450000
13341,721,5,1,2024-05-16,8600000
13342,627,18,5,2024-02-29,26450000
13343,991,6,5,2025-01-10,51950000
13344,816,65,7,2024-06-24,27930000
13345,350,91,3,2024-07-03,7320000
13346,582,66,4,2024-07-04,11160000
13347,600,5,6,2024-11-20,51600000
13348,620,55,1,2024-06-21,7290000
13349,782,30,4,2024-09-16,44360000
13350,113,7,2,2025-02-12,24880000
13351,193,61,4,2024-03-10,19160000
13352,868,88,7,2024-12-16,5530000
13353,242,66,9,2024-08-03,25110000
13354,503,33,10,2024-09-10,137900000
13355,231,13,9,2024-12-17,34110000
13356,474,55,8,2025-02-19,58320000
13357,519,32,2,2024-05-18,21980000
13358,566,41,3,2024-12-22,2970000
13359,391,76,7,2024-02-28,159530000
13360,643,32,6,2024-06-04,65940000
13361,679,51,4,2024-07-01,31960000
13362,382,19,7,2024-08-01,21630000
13363,194,60,9,2025-02-19,71451000
13364,974,19,3,2024-06-17,9270000
13365,40,51,10,2024-12-22,79900000
13366,282,43,8,2024-09-20,3360000
13367,582,79,5,2024-05-14,375000
13368,414,52,10,2024-09-16,8590000
13369,862,58,7,2024-12-02,58240000
13370,68,77,5,2024-11-12,140950000
13371,504,2,6,2024-05-03,74640000
13372,191,21,6,2024-04-26,86940000
13373,99,76,8,2024-10-08,182320000
13374,681,75,1,2024-06-15,18390000
13375,960,60,9,2025-02-11,71451000
13376,141,4,6,2025-03-13,16500000
13377,574,22,8,2025-01-22,69520000
13378,938,70,3,2024-08-08,68070000
13379,131,16,9,2024-09-03,26910000
13380,718,72,6,2024-05-28,95940000
13381,825,30,4,2024-10-30,44360000
13382,54,36,4,2024-04-29,4220000
13383,816,17,8,2024-09-09,143120000
13384,558,6,10,2024-03-21,103900000
13385,4,21,7,2024-12-03,101430000
13386,826,27,1,2025-02-07,16900000
13387,213,13,8,2024-05-28,30320000
13388,348,89,5,2024-05-17,4950000
13389,833,58,3,2024-02-20,24960000
13390,847,79,7,2024-04-27,525000
13391,787,5,8,2025-02-24,68800000
13392,711,37,1,2024-12-18,439000
13393,490,66,7,2024-09-18,19530000
13394,499,67,5,2024-05-03,21450000
13395,563,71,9,2025-02-11,163710000
13396,149,92,9,2024-04-24,23310000
13397,332,11,7,2025-01-19,97930000
13398,52,67,4,2024-12-21,17160000
13399,96,13,9,2024-11-09,34110000
13400,418,42,8,2024-09-30,4400000
13401,878,78,2,2025-01-18,98000
13402,881,3,6,2025-03-01,46500000
13403,52,86,6,2024-10-26,600000
13404,240,13,1,2025-01-20,3790000
13405,58,95,10,2024-10-23,8900000
13406,899,42,4,2024-07-17,2200000
13407,887,26,5,2025-01-26,16200000
13408,725,4,5,2024-08-07,13750000
13409,544,17,4,2024-03-29,71560000
13410,130,30,5,2024-02-24,55450000
13411,711,24,7,2024-12-21,30800000
13412,687,94,6,2024-07-07,35940000
13413,848,54,4,2024-11-15,19560000
13414,227,81,6,2024-03-02,1020000
13415,760,67,8,2024-11-24,34320000
13416,1,64,8,2024-03-25,67120000
13417,876,20,1,2024-11-29,7750000
13418,947,60,9,2024-09-02,71451000
13419,89,66,1,2024-06-02,2790000
13420,61,93,7,2024-10-17,8330000
13421,966,85,9,2024-06-30,810000
13422,119,10,7,2024-11-24,51730000
13423,897,10,10,2024-08-31,73900000
13424,22,41,4,2024-06-30,3960000
13425,996,8,6,2024-07-04,61140000
13426,707,7,8,2025-02-26,99520000
13427,238,49,7,2024-06-10,53830000
13428,704,77,3,2024-06-16,84570000
13429,90,2,8,2024-03-09,99520000
13430,80,35,6,2024-02-13,16500000
13431,849,65,8,2024-09-26,31920000
13432,511,20,8,2025-01-25,62000000
13433,711,6,7,2024-03-21,72730000
13434,551,88,1,2024-12-06,790000
13435,605,27,1,2024-05-07,16900000
13436,935,65,6,2025-01-19,23940000
13437,509,39,10,2025-01-21,9900000
13438,883,54,8,2024-06-20,39120000
13439,853,52,5,2024-04-28,4295000
13440,665,46,10,2024-03-05,34900000
13441,549,92,2,2024-11-25,5180000
13442,957,20,10,2024-09-21,77500000
13443,779,47,5,2025-01-28,37950000
13444,865,26,9,2024-03-01,29160000
13445,436,38,8,2024-02-17,16720000
13446,680,55,3,2024-09-01,21870000
13447,928,75,10,2024-10-14,183900000
13448,1000,39,6,2024-04-12,5940000
13449,57,48,4,2024-04-20,31960000
13450,215,35,8,2025-01-16,22000000
13451,299,49,7,2024-10-10,53830000
13452,335,68,1,2024-07-01,10190000
13453,172,43,1,2024-05-11,420000
13454,146,37,5,2024-10-27,2195000
13455,502,26,3,2024-11-02,9720000
13456,52,96,2,2024-03-08,1580000
13457,975,10,7,2024-05-01,51730000
13458,665,52,7,2024-06-14,6013000
13459,442,54,4,2024-07-20,19560000
13460,486,20,7,2024-07-07,54250000
13461,527,36,9,2024-06-21,9495000
13462,410,80,1,2024-09-18,510000
13463,610,92,7,2024-10-08,18130000
13464,642,76,1,2024-06-19,22790000
13465,807,48,3,2024-08-31,23970000
13466,422,53,9,2024-09-06,10710000
13467,638,25,7,2025-02-13,75250000
13468,535,73,2,2024-04-02,31380000
13469,238,51,9,2024-04-27,71910000
13470,838,67,1,2024-05-18,4290000
13471,560,72,10,2025-02-26,159900000
13472,122,56,4,2024-10-17,15960000
13473,291,43,8,2024-06-24,3360000
13474,181,93,5,2024-08-01,5950000
13475,970,29,10,2025-03-08,93900000
13476,606,29,10,2024-03-18,93900000
13477,806,68,7,2024-08-02,71330000
13478,142,55,5,2024-03-16,36450000
13479,963,62,3,2024-08-20,20235000
13480,283,43,4,2024-12-21,1680000
13481,205,16,3,2024-05-13,8970000
13482,107,8,1,2025-03-02,10190000
13483,181,79,1,2024-08-25,75000
13484,353,82,3,2024-08-13,510000
13485,257,8,7,2024-08-30,71330000
13486,570,59,10,2024-07-16,39900000
13487,603,2,8,2025-03-08,99520000
13488,138,33,8,2024-10-24,110320000
13489,780,33,2,2025-01-02,27580000
13490,497,58,4,2024-03-13,33280000
13491,251,95,4,2025-01-01,3560000
13492,501,89,9,2024-11-07,8910000
13493,931,58,10,2024-10-30,83200000
13494,297,27,8,2025-01-19,135200000
13495,969,3,2,2024-09-14,15500000
13496,165,27,8,2024-08-07,135200000
13497,827,7,7,2024-10-30,87080000
13498,517,9,5,2024-03-15,64950000
13499,666,46,2,2024-03-20,6980000
13500,477,44,5,2024-03-07,2595000
13501,279,85,2,2024-05-09,180000
13502,206,79,7,2024-03-19,525000
13503,306,9,3,2024-08-23,38970000
13504,571,24,6,2024-04-10,26400000
13505,149,53,4,2024-04-25,4760000
13506,833,27,5,2024-05-19,84500000
13507,558,65,10,2024-08-09,39900000
13508,964,1,1,2024-11-09,5480000
13509,853,74,6,2024-04-20,91740000
13510,266,38,9,2024-04-25,18810000
13511,943,88,1,2024-11-01,790000
13512,204,56,7,2024-03-28,27930000
13513,345,83,1,2024-12-29,85000
13514,9,88,7,2024-06-03,5530000
13515,280,42,3,2025-01-15,1650000
13516,904,25,8,2025-01-28,86000000
13517,410,96,7,2024-02-21,5530000
13518,486,50,9,2024-02-28,50310000
13519,608,58,7,2024-10-25,58240000
13520,770,72,6,2024-02-25,95940000
13521,567,31,4,2025-01-28,8360000
13522,621,22,4,2024-11-09,34760000
13523,47,61,6,2024-08-30,28740000
13524,768,28,10,2024-08-03,189900000
13525,905,45,5,2024-10-15,19950000
13526,30,19,9,2024-12-05,27810000
13527,896,71,10,2024-07-03,181900000
13528,502,19,5,2024-09-23,15450000
13529,539,73,6,2024-09-12,94140000
13530,636,22,6,2024-12-05,52140000
13531,784,59,6,2024-10-18,23940000
13532,574,41,10,2024-05-24,9900000
13533,865,69,3,2024-11-18,41970000
13534,772,84,1,2024-11-26,450000
13535,847,31,6,2024-07-27,12540000
13536,787,56,10,2024-06-23,39900000
13537,132,71,6,2024-07-22,109140000
13538,356,86,6,2024-06-28,600000
13539,437,47,5,2025-01-29,37950000
13540,660,24,2,2024-11-01,8800000
13541,191,83,4,2024-02-23,340000
13542,105,49,2,2025-02-07,15380000
13543,817,14,6,2024-09-19,50940000
13544,878,10,6,2024-08-31,44340000
13545,116,27,1,2024-03-20,16900000
13546,712,36,1,2024-02-26,1055000
13547,323,71,6,2024-10-15,109140000
13548,125,4,8,2025-01-12,22000000
13549,837,62,7,2024-11-06,47215000
13550,952,36,2,2024-03-28,2110000
13551,774,54,7,2024-11-12,34230000
13552,861,73,10,2024-12-25,156900000
13553,411,62,4,2024-04-12,26980000
13554,458,22,7,2024-04-13,60830000
13555,893,71,2,2024-11-15,36380000
13556,463,4,4,2024-08-14,11000000
13557,319,43,7,2024-04-18,2940000
13558,162,64,3,2024-10-15,25170000
13559,211,87,2,2024-12-20,384000
13560,134,12,4,2024-10-30,47000000
13561,703,29,2,2024-09-07,18780000
13562,379,69,9,2024-05-09,125910000
13563,101,8,10,2024-05-08,101900000
13564,171,10,4,2025-02-17,29560000
13565,293,31,2,2024-04-27,4180000
13566,492,16,4,2024-11-23,11960000
13567,202,42,7,2024-11-07,3850000
13568,815,51,8,2025-03-15,63920000
13569,769,45,1,2024-05-22,3990000
13570,653,9,2,2025-02-20,25980000
13571,884,80,3,2024-07-29,1530000
13572,312,40,10,2024-08-15,4990000
13573,884,39,5,2024-12-29,4950000
13574,674,66,7,2024-11-03,19530000
13575,799,63,7,2024-02-19,60200000
13576,344,75,8,2024-04-11,147120000
13577,684,78,3,2024-07-15,147000
13578,515,32,10,2025-03-12,109900000
13579,197,53,6,2024-10-05,7140000
13580,843,20,9,2024-04-30,69750000
13581,62,53,10,2024-11-28,11900000
13582,12,37,8,2024-11-16,3512000
13583,199,68,5,2024-08-05,50950000
13584,233,27,1,2024-04-28,16900000
13585,488,28,6,2024-03-15,113940000
13586,922,22,9,2024-11-14,78210000
13587,802,88,2,2024-05-19,1580000
13588,272,66,4,2025-01-15,11160000
13589,84,20,6,2024-07-20,46500000
13590,937,20,8,2024-08-11,62000000
13591,335,72,4,2024-10-19,63960000
13592,940,25,4,2024-11-29,43000000
13593,812,84,7,2024-02-21,3150000
13594,479,1,2,2024-08-20,10960000
13595,751,78,1,2024-07-29,49000
13596,698,78,4,2024-05-12,196000
13597,170,17,9,2024-08-25,161010000
13598,555,21,1,2024-11-15,14490000
13599,584,45,7,2024-04-25,27930000
13600,170,28,10,2024-05-12,189900000
13601,463,83,8,2024-08-26,680000
13602,284,34,2,2025-01-20,7580000
13603,122,87,7,2024-05-04,1344000
13604,404,15,5,2024-06-27,42450000
13605,476,32,5,2024-11-09,54950000
13606,642,38,8,2024-10-05,16720000
13607,548,76,2,2024-04-05,45580000
13608,439,71,7,2024-03-20,127330000
13609,144,18,4,2024-07-22,21160000
13610,63,60,3,2024-11-24,23817000
13611,163,89,9,2024-12-18,8910000
13612,977,39,3,2024-12-18,2970000
13613,701,88,3,2024-09-16,2370000
13614,61,79,3,2025-01-28,225000
13615,794,75,9,2025-03-07,165510000
13616,971,94,4,2024-12-24,23960000
13617,526,77,7,2024-10-05,197330000
13618,70,22,5,2024-10-11,43450000
13619,912,71,7,2025-02-05,127330000
13620,336,29,9,2024-07-28,84510000
13621,780,39,9,2024-11-21,8910000
13622,347,55,2,2024-04-07,14580000
13623,585,70,8,2024-10-22,181520000
13624,488,9,1,2024-12-16,12990000
13625,736,69,8,2024-09-01,111920000
13626,455,92,3,2025-03-03,7770000
13627,203,83,4,2024-05-15,340000
13628,693,15,3,2024-09-18,25470000
13629,181,64,10,2025-03-15,83900000
13630,37,21,4,2024-10-01,57960000
13631,104,86,9,2024-11-07,900000
13632,672,80,7,2024-04-24,3570000
13633,783,8,3,2024-08-13,30570000
13634,520,11,5,2024-02-29,69950000
13635,474,83,2,2024-11-22,170000
13636,580,54,2,2025-02-15,9780000
13637,450,90,6,2024-05-21,5940000
13638,873,10,5,2024-04-10,36950000
13639,327,68,9,2024-04-27,91710000
13640,931,8,7,2024-05-18,71330000
13641,520,74,5,2024-11-12,76450000
13642,298,39,1,2025-01-19,990000
13643,798,29,4,2024-12-22,37560000
13644,973,58,6,2024-06-13,49920000
13645,510,2,4,2024-03-10,49760000
13646,503,3,8,2024-05-14,62000000
13647,703,90,4,2024-06-15,3960000
13648,613,45,3,2024-04-02,11970000
13649,932,37,6,2024-07-29,2634000
13650,700,9,5,2025-01-02,64950000
13651,394,60,2,2025-01-29,15878000
13652,255,85,4,2025-02-18,360000
13653,252,85,6,2024-11-11,540000
13654,525,51,8,2024-09-07,63920000
13655,151,1,10,2024-10-14,54800000
13656,545,82,10,2024-02-13,1700000
13657,639,87,8,2024-05-03,1536000
13658,529,13,6,2025-02-22,22740000
13659,314,64,1,2024-07-24,8390000
13660,858,88,9,2024-06-10,7110000
13661,314,48,4,2024-08-25,31960000
13662,481,8,4,2024-04-12,40760000
13663,675,81,7,2024-10-23,1190000
13664,47,51,1,2024-04-06,7990000
13665,484,28,1,2024-07-19,18990000
13666,896,83,5,2024-10-10,425000
13667,259,45,1,2024-06-23,3990000
13668,166,33,5,2024-07-21,68950000
13669,773,7,3,2024-09-23,37320000
13670,215,83,1,2024-04-24,85000
13671,895,2,5,2025-02-24,62200000
13672,724,25,6,2024-11-12,64500000
13673,712,51,7,2025-02-03,55930000
13674,280,57,2,2024-12-06,10298000
13675,829,91,4,2024-09-24,9760000
13676,935,26,7,2024-03-29,22680000
13677,4,61,10,2024-03-08,47900000
13678,378,9,2,2024-04-18,25980000
13679,777,9,4,2024-12-24,51960000
13680,435,50,3,2024-07-31,16770000
13681,781,46,10,2024-11-10,34900000
13682,628,6,7,2024-07-31,72730000
13683,431,94,3,2024-09-22,17970000
13684,480,30,10,2024-06-09,110900000
13685,356,76,4,2024-03-27,91160000
13686,399,75,7,2024-04-06,128730000
13687,117,6,7,2025-01-19,72730000
13688,280,79,1,2024-03-30,75000
13689,240,39,1,2024-07-09,990000
13690,231,56,7,2024-08-21,27930000
13691,133,14,5,2024-11-22,42450000
13692,643,51,1,2024-09-20,7990000
13693,298,46,9,2025-02-24,31410000
13694,792,75,5,2024-03-23,91950000
13695,997,87,10,2024-05-01,1920000
13696,192,58,9,2024-12-03,74880000
13697,775,94,3,2024-10-29,17970000
13698,927,77,2,2025-01-02,56380000
13699,726,19,1,2024-05-23,3090000
13700,8,19,10,2024-11-15,30900000
13701,925,38,7,2024-05-07,14630000
13702,568,83,6,2024-07-28,510000
13703,985,72,8,2024-07-31,127920000
13704,569,88,7,2024-03-12,5530000
13705,804,93,4,2024-12-07,4760000
13706,691,18,1,2024-12-03,5290000
13707,91,76,4,2025-02-20,91160000
13708,858,33,10,2024-12-10,137900000
13709,481,26,8,2024-11-10,25920000
13710,615,48,5,2024-05-10,39950000
13711,423,91,10,2024-03-11,24400000
13712,76,39,4,2024-04-10,3960000
13713,525,29,10,2024-03-04,93900000
13714,673,88,1,2024-05-06,790000
13715,383,62,7,2024-04-20,47215000
13716,547,24,9,2024-08-19,39600000
13717,229,69,1,2024-03-24,13990000
13718,727,63,5,2024-10-11,43000000
13719,568,85,9,2024-11-11,810000
13720,312,31,9,2024-06-02,18810000
13721,71,42,1,2024-05-11,550000
13722,624,32,10,2024-11-26,109900000
13723,575,4,6,2025-01-23,16500000
13724,131,94,8,2024-02-25,47920000
13725,792,18,5,2024-04-02,26450000
13726,673,22,3,2025-01-08,26070000
13727,659,52,7,2025-01-22,6013000
13728,693,14,7,2024-04-15,59430000
13729,918,31,8,2024-07-16,16720000
13730,652,89,3,2024-04-22,2970000
13731,142,79,1,2025-02-22,75000
13732,354,81,8,2024-05-24,1360000
13733,68,89,4,2024-12-30,3960000
13734,871,42,5,2024-06-27,2750000
13735,842,70,9,2024-03-11,204210000
13736,761,49,2,2025-03-12,15380000
13737,521,13,7,2024-11-11,26530000
13738,47,64,1,2025-02-02,8390000
13739,932,38,8,2024-11-21,16720000
13740,49,84,7,2024-10-21,3150000
13741,408,57,8,2024-02-25,41192000
13742,454,22,1,2024-07-13,8690000
13743,71,13,9,2025-01-23,34110000
13744,398,19,1,2024-10-03,3090000
13745,527,24,5,2024-08-26,22000000
13746,647,41,8,2025-03-01,7920000
13747,649,6,10,2025-03-08,103900000
13748,157,4,2,2024-02-11,5500000
13749,351,71,9,2024-11-14,163710000
13750,104,44,3,2024-11-11,1557000
13751,681,43,6,2024-03-01,2520000
13752,537,34,6,2024-07-16,22740000
13753,24,48,4,2024-05-21,31960000
13754,820,11,7,2024-10-01,97930000
13755,934,16,2,2024-04-04,5980000
13756,243,72,1,2024-08-16,15990000
13757,552,14,8,2024-06-28,67920000
13758,967,60,3,2024-07-21,23817000
13759,231,77,7,2024-03-21,197330000
13760,316,92,7,2024-10-08,18130000
13761,855,62,2,2025-02-18,13490000
13762,464,8,5,2024-03-20,50950000
13763,549,43,9,2024-02-11,3780000
13764,742,87,3,2024-02-25,576000
13765,396,79,2,2024-04-04,150000
13766,72,73,9,2024-04-16,141210000
13767,296,35,7,2024-11-09,19250000
13768,218,17,6,2025-02-06,107340000
13769,829,34,3,2024-11-30,11370000
13770,776,75,4,2024-12-12,73560000
